nrCrt,Denumire agent economic,cod unic de inregistrare
597,GEALEX,15367812
598,geanina  s.r.l,RO8505513
599,geanlia comert srl,RO5841675
600,GEDOVAN SRL,RO23161103
601,Gelmaxim,RO31300660
602,GENERAL NIC IMPORT-EXPORT SRL,RO1586375
603,GEORGESIM STAR DIVERS SRL,RO15572205
604,GEORGIAN & RADU 2001 S.R.L.,RO14057112
605,GEPETO SRL,RO6267660
606,GERMINO SRL,RO190630
607,GG CONSTRUCT SRL,21381170
608,GHENAT ELIS,35309409
609,GHEORGHE CARMELUS INTREPRINDERE INDIVIDUALA,19351100
610,GHEORGHE-IONELE VIOLETA INTREPRINDERE INDIVIDUALA,31394916
611,Gherghia Cornel,39321278
612,GHERGHINESCU V LUCIAN II,14708482
613,GHIZDEANU AUREL INTREPRINDERE INDIVIDUALA,13652871
614,GIBORO COMIMPEX S.R.L,RO6568060
615,GINA MIRR SRL,RO448277
616,GINCOS SRL,RO17875795
617,GIOGIU PROD SRL,RO15019567
618,GIOIA SALVO SRL,37347190
619,GIRLESCU SOCIETATE IN NUME COLECTIV,RO4741090
620,GIROTI,RO15539381
621,GIXEN SRL,RO9053467
622,gizella pamal,RO3259698
623,Gocsman Rozalia,RO5857531
624,GOGOASA ALEXANDRA,2542512
625,GOLD HALL SRL,28625174
626,GOLD SARAY SRL,35127342
627,Gourmanderie SRL,RO29581580
628,GOVORA VITANS SRL,3986009
629,GRAGEMI COMPANY SRL,RO28934757
630,Grama Iosif PFA,22505578
631,GRANDMAXIMUS SRL,RO25636241
632,GREAT EUROPE SPEDITION SRL,36300742
633,Greavu Gheorghe II,27980887
634,Greavucom srl,RO16632038
635,GREEN DAY DISTRIBUTION SRL,RO37986976
636,Greenmani Trans,34935560
637,GRETMAX SRL,RO15337668
638,GREU I PAULA PERSOANA FIZICA AUTORIZATA,20621991
639,GRIDELA IMPEX SRL,RO5499050
640,GRIG AUTO SRL,RO7987600
641,GRIG MARIN INTREPRINDERE INDIVIDUALA,RO38509185
642,Grigoras maranda,28030060
643,GRILL CAFFE FLAVIU SRL,37928436
644,GRUP PARC SRL,RO9366049
645,GRUPUL DE DISTRIBUTIE ETA SRL,RO12273950
646,GSA SIGOLA SRL,RO38475589
647,GTA ACTIV EVOLUTION S.R.L.,RO34422123
648,Gunea Veronica Maria,35308829
649,H-PRESS SRL,RO2968837
650,HAJNO COMERT SRL,RO9230631
651,Hali Corina Ãntreprindere Individuala,38688242
652,HALIÈÄ MÄRIOARA INTREPRINDERE INDIVIDUALA,10546310
653,HAN LUCIAN DAN INTREPRINDERE INDIVIDUALA,34904645
654,HÃNCU IOAN,RO20295011
655,HANG GET SRL,20137887
656,HARD&CHIC SRL,RO1875527
657,Harghita Retail,RO38244304
658,HARVIO S.R.L.,RO24001550
659,hazard-exim srl,RO6754267
660,Heinrig Impex SRL Filiala Bucuresti,RO11955941
661,HELIN HUB A.G.H. S.R.L,38560641
662,Heloga company,RO22855131
663,Herisanu Gh Gheorghe I.F,16119815
664,HIDAN,RO8567303
665,Hockey Pub SRL,RO38483514
666,HOMORODEAN ANGHEL SRL,33258996
667,HORADI COM PROD SRL,RO5265360
668,HORECA BAUTURI SRL,RO33639834
669,Hornea,39971874
670,i i serban t. simona daniela,RO27818770
671,i i Tigances Lacramioara,39029029
672,I. I. Popescu V. Octavian,RO7512717
673,I.F. Amariei Marius Constantin,9264650
674,I.F. TAUTU M. MARIANA,38794138
675,I.F. Vrancianu Ioan,17618775
676,I.F.SALCIANU MIREL,RO8218931
677,I.I ALBUSOIU DUMITRU,26453137
678,I.I GAZIBARA LAURA SIMONA,33917205
679,I.I. BALAN LIVIU VASILE,39975418
680,I.I. COJOCARU ANDREEA-LOREDANA,35667571
681,I.I. DRAGHICI COSMIN BOGDAN,33380674
682,I.I. FLORIAN N. NECULAI,40876710
683,I.I. Ghelase Paul,RO28947617
684,I.I. GURGU MIRELA,39542627
685,I.I. MIHAI VIORICA,21003719
686,I.I. PATRASCU M. MARIA,RO9301899
687,I.I. POENARU ALBUMITA,32316932
688,I.I. SAVIN N. MARICICA,RO1063350
689,I.I.CIRSTESCU N FILOFTEIA,9155840
690,i.i.FLORICA VIOREL,RO11736852
691,I.I.Petrariu S.Maria,RO33552230
692,I.I.PISTOL ADINA CRISTINA,RO26005087
693,I.I.STAN MIRCEA CORNEL,RO38728932
694,IACOB VERONICA PERSOANA FIZICA AUTORIZATA,22135025
695,IAN-MARI SRL,RO4475274
696,ianovici emil pf,20150940
697,IBERSERV,RO31916068
698,ICOM OIL SRL,RO11158953
699,IDC TEAM SRL,38619064
700,IF ANDREI MARIUS,RO10014194
701,IF BARBU FLORINEL EMIL,26543671
702,IF COVACI,RO17281253
703,IF GERGEI ALEXANDRU CLAUDIU,26707405
704,IF IOVANESCU AURELIA,14460416
705,IF Jianu Daniel,17488950
706,IF MANEA ANTIN,RO10651715
707,IF Mustatea Lucia,17179130
708,IF NEGOESCU VASILICA,7974872
709,IF PAP ELLA,6137210
710,IF PRODAN M. GHEORGHE,22437139
711,IF Snaider Veronica,28936057
712,IF STANCU GEORGETA,8938940
713,IF Taiatu Aurel,14682366
714,IFTIMESCU DENISA ELENA - INTREPRINDERE FAMILIALA,38801332
715,IGI AUTO COM,RO0601850
716,II ALEXA GH. COSTEL,27651930
717,II ANDREI FLORENTIN IOAN,33510170
718,Ii Balanica Monica,34256438
719,II Barna Florentina Mihaela,RO34541337
720,II BATFOI ANCA ELENA,40578659
721,ii bibicu marioara,34215128
722,II CEAUSESCU NICULINA,RO30235815
723,II Chesnoiu P Mariana,18864298
724,II CONSTANTIN RODICA GEORGIANA,21312641
725,II CONSTANTINESCU I FLORENTINA,15333011
726,II DINU ADRIANA ALINA,RO30514941
727,II FLORESCU D MIRCEA CONSTANTIN,RO26179407
728,II GHIMP ELENA,30727125
729,II HERGHELEGIU GH. LENUTA ANGELICA,40893451
730,ii iancu s. rares costin,RO28581566
731,ii Ignat M Vasile,30193078
732,II Iosif Ioan,27141176
733,II IVAN GHIORGHE,RO26634982
734,II Maravela Silvia,29762978
735,II MERISOR AURORA,RO34078853
736,ii MihÄlciou Alina-Elena,39339445
737,II MITREA MARIUS CATALIN,26205034
738,II NICOLAE SOFICA,39890540
739,II PANAET ANCA-ELENA,RO27205997
740,II POPESCU A VALENTINA MIHAELA,27179464
741,II PUSCASU TURCANU FLORICA,20934034
742,II RADU IRINA ALINA,35047570
743,II SANDU C. STEFAN,36107963
744,II sarateanu iuliana daniela,30442691
745,II STANCU A NICOLETA,RO32651074
746,II Staniu Mariana,26166490
747,II STROESCU-BOU ION,RO11605733
748,II TALPALARU MARIANA,27900012
749,II TURLUIANU D.IONEL,17372114
750,II VOICU C MIHAELA,34818366
751,II.DRAGHICI GABRIELA LOREDANA,34159443
752,II.Margaritescu I Lucian,29141814
753,ILIESCU IOANA,22781026
754,ILISTAR CONCEPT SRL,RO13610868
755,IMAGINE-SUNET-MUZICA SRL,2195693
756,IMPACT KOSTEO,37151860
757,IMPERIAL TOBACCO DISTRIBUTION ROMANIA SRL,RO35393387
758,Imperium SRL,RO11444653
759,impuscatoiu maria pfa,31125942
760,INAB CODRUT SRL,39481589
761,INDIA SRL,RO6130620
762,INDMET SRL,RO3224843
763,INSIST SERV SRL,RO5296072
764,inteprindere familiala vonica gabriel,RO7111286
765,INTEPRINDERE INDIVIDUALA DRAGOMIR MIHAI MARIAN,RO33705237
766,INTEPRINDERE INDIVIDUALA DRAGOMIR MIHAI RALUCA GABRIELA,29021303
767,INTER UNI BAC,RO14048815
768,INTERBRANDS MARKETING & DISTRIBUTION SRL,RO3786280
769,INTERFAM DANY SRL,40341406
770,Intermarket Bucuresti SRL,RO3271438
771,INTEROIL SRL,RO11997009
772,INTERPRINDERE INDIVIDUALA CSISZER VERONIKA,20483686
773,INTIM 90 SRL,RO1639119
774,Intreprindere Familiala Fara Florica,17986750
775,INTREPRINDERE FAMILIALA LACRAMUTA MARIAN,24444108
776,INTREPRINDERE FAMILIALA PAVEL DAN MARIAN,29089406
777,INTREPRINDERE FAMILIALA TINEANU NICOLITA,RO7184580
778,Intreprindere Familiala Varzaru Marin,16420264
779,INTREPRINDERE INDIVIDUALA ARITON IONEL,36275088
780,Intreprindere Individuala Boca V. Marcel,26069129
781,INTREPRINDERE INDIVIDUALA DUMITRACHE RAZVAN CRISTIAN,RO28218405
782,INTREPRINDERE INDIVIDUALA FLORESCU VALENTIN MARIAN,38255230
783,INTREPRINDERE INDIVIDUALA HANGIU I MARIA,33867840
784,INTREPRINDERE INDIVIDUALA NIGA MARIOARA,32483043
785,INTREPRINDERE INDIVIDUALA NIGA V.GHEORGHE,27677930
786,INTREPRINDERE INDIVIDUALA POP GABRIELA AGNETA,RO27009613
787,intreprindere individuala sirbu marius,RO31655892
788,INTREPRINDERE INDIVIDUALA SITARU GHEORGHE,RO18097985
789,intreprindere individuala stamate laura elena,RO26876455
790,intreprindere individuala surcel valentin cosma,32499384
791,INTREPRINDERE INDIVIDUALS MANEA D. GHEORGHE-GABRIEL,RO36620739
792,ION ANIÈOARA ÃNTREPRINDERE INDIVIDUALÄ,31277800
793,ION VALENTIN -NICOLAE INTREPRINDERE FAMILIALA,15567322
794,IONUT TURISM,18096815
795,IOSEMARKET MARI SRL,RO29339200
796,IRIMIA A.VASILE INTREPRINDERE INDIVIDUALA,29322306
797,IRIMIAS TRADING SRL,RO30995667
798,IRIS MARI SRL,RO18759314
799,IRMON,RO6013298
800,IRON DAVID SRL,RO27051880
801,IRS Evolution SRL,RO37128115
802,ISAFE COM SRL,RO5858960
803,Isfan Dan Adrian Inteprindere Individuala,40043175
804,ISTRA MAR COM SRL,40334433
805,iuli-asi trademania srl,RO31066994
806,IULIA-CRISTINA 2000 SRL,RO14763916
807,IULIANDRA GROUP SRL,RO18930820
808,IUSTIN MARKET SRL,39848228
809,IUVENTA S.R.L,RO18513017
810,IVAN GHE. MARIN PFA,36506530
811,Ivan Mihaela,40841096
812,IVASCU SERVCOM SRL,5824747
813,IZVORUL RECE SOCIETATE COOPERATIVA DE CONSUM,RO1130076
814,IZVORUL SRL,RO497318
815,J.A. PETROL SRL,RO21132349
816,J.T. INTERNATIONAL (ROMANIA) SRL,RO5110535
817,J.T. INTERNATIONAL MANUFACTURING SA,RO4364012
818,J13/720/16.02.1995,RO7002270
819,J14/17/1992,RO537064
820,Jar Algevi Team SRL_D,36095419
821,JEPO COM SRL,RO3338333
822,JETOIL DOWNSTREAM SRL,RO25119245
823,JIANU UNIVERSAL SRL,RO29587834
824,JIBERTEANCA,RO1139415
825,JPB TRADE SRL,RO5888325
826,JUNKYARD EVENTS SRL,37348021
827,Jurca N Nicolae Intreprindere Individuala,37437781
828,JURJ PERSOANÄ FIZICÄ AUTORIZATÄ,16344426
829,KAGO COMPANY SRL,RO24860312
830,KAMASONY MYM SRL,RO34980049
831,KAR SPEDITION SRL,RO22030703
832,Kargo Tranzit SRL,RO17935218
833,KASIA COMERT INTERN EXTERN SRL,RO30113877
834,KATYFEL SRL,17399063
835,KAUFLAND ROMANIA SCS,RO15991149
836,KAZOMOL SRL,RO27128215
837,KELY CUKI SRL,RO523921
838,KENTUKY,RO15825219
839,KING'S COFFEE SOLUTIONS SRL,RO18383758
840,KLARA SRL,RO7029420
841,Konrad comercial SRL,RO24544778
842,Korondi A sarlota,32665037
843,KOSOKE SRL,RO15404856
844,Kovacs Èandor matyas ii,RO39518017
845,KRISZ&BELLA SRL,35635154
846,KRISZTO S.R.L,RO30154958
847,Kroner Supermarket SRL,RO23421963
848,L.T.WORLD SERVICE,RO32756437
849,LA  ARENA SRL,RO1711850
850,LA MIRELA&NAN INTERNATIONAL SRL,39683561
851,LA NICCO SRL,30590809
852,LA NICU PRODCARN SRL,36514304
853,la oglinzi,RO38620298
854,LA SUETA SRL,38285827
855,LACOSTINA SRL,33194361
856,LACTO BAR AGNEZA S.R.L.,RO1913787
857,Ladanutza com Impex srl,39367836
858,LAGARDERE TRAVEL RETAIL SRL,RO8529539
859,LANSA TRANS SRL,RO8965465
860,LARA PROD,RO14672044
861,Larifer,25252410
862,Laris best market srl,39916136
863,LARY-TOP IMPEX SRL,RO17985232
864,LASCU BROS SRL,RO9862131
865,LASCU LIVIA CLAUDIA ÃNTREPRINDERE FAMILIALÄ,25768765
866,Lata Tatiana,34371267
867,LAUMAR TRADE CONCEPT SRL,RO37289910
868,Launic Stecos Sco SRL,40082719
869,LAURA & IONEL STAR,RO3400273
870,LAURA IMPORT-EXPORT SRL,RO3952499
871,LAVIMIRO SRL,37265317
872,LAVIOD IMPEX S.R.L.,RO28248198
873,LAZARCRIS SRL,22266152
874,Le Raisin,RO31344268
875,Leca st. Maria II,RO37087090
876,LECOTICO ALIMENT SRL,RO38929529
877,LENA & ANDIDA SRL,RO31969062
878,LENACRIS CONF SRL,RO2563175
879,LEOMERA S.R.L.,39408952
880,LEONARDO COMPRODIMPEX SRL,RO1918920
881,LES PALMIERS RELAX SRL,RO31408841
882,LEUL MT IMPEX SRL,RO4431430
883,LGV AGROCIN INVEST S.R.L,38868200
884,LIB RO,RO3892931
885,LICA MARIANA ÃNTREPRINDERE INDIVIDUALA,21625460
886,LIDA BONI SRL,1284270
887,LIDL DISCOUNT SRL,RO22891860
888,Lie Adina Elena I.I.,37256700
889,LIL DENDAN,39230307
890,LINCA  A  ADRIAN  INTREPRINDERE  INDIVIDUALA,RO17110717
891,LIPAN RADEL INTREPRINDERE INDIVIDUALA,33143341
892,LIÈÄ MARIA PERSOANÄ FIZICA AUTORIZATÄ,19471327
893,LORI &MIHAI S.R.L,RO36970190
894,LOS CHICOS SRL,RO26518384
895,LOTUS IMPEX SRL,RO2528739
896,LOVE ANCA SRL,33961910
897,LOYAL CONTRASIMEX SRL,RO38014232
898,LT RETAIL SRL,38142908
899,LU&FLO SRL,RO19165140
900,LUCACEL ANCUTA CODRUTA II,29880370
901,LUCESCU CRISTINA INTREPRINDERE INDIVIDUALA,39691360
902,LUCIAN MIXT COM 2018 SRL,39768790
903,LUCICORICOM SRL,RO7034221
904,LUCIFER SRL,RO553221
905,Lungu D Ion Intreprindere Individuala,RO27898877
906,Lungu GHE GHE LUMINIÈA,40830763
907,Lungu Oana Irina Intreprindere Individuala,40448063
908,LUPU N. LIVIU II,34445453
909,LUZAN LOGISTIC SRL,RO2384021
910,LYRA DOLCE 2016 SRL,RO36105512
911,M-Z PRODUCTIE SRL,RO5627702
912,M. Tabac srl,RO12090783
913,M.B. PEGAS OIL S.R.L.,RO33186288
914,M.C.G. TURIST SRL,RO27375274
915,M.C.T. MANU SRL,RO16798252
916,M.N.B. LAURA COM SRL,RO8145147
917,MA&GCDEPOCON SRL,RO24169164
918,Macmaria,34289460
919,MACOMI EX SRL,RO16295
920,MACSI SONIARD PATRU S.R.L.,RO37190362
921,Mactrade,RO21275284
922,Mactrade,21275284
923,MAD EXCLUSIVE ART S.R.L.,RO32505400
924,MADALINA 2003 COM SRL,RO15357444
925,MADIMAR WHOLE TRADING SRL,40122805
926,MAFTEI E CONSTANTIN INTREPRINDERE INDIVIDUALA,RO40837664
927,MAGALIDINA FAMILY SRL,37618397
928,Magazin Cimbala,38183886
929,MAGAZINUL EXTRA SRL,RO1456030
930,MAGIC STORE COMPLET SRL,37102620
931,MAGIG FRAME SRL,36230248
932,MAGNON SRL,RO3914193
933,MAGNUM TRADE 2000 SRL,RO5082400
934,Maicor Smart,RO35121277
935,Maiestoso prosercom,RO7776581
936,MAKE CORMORAN SRL,RO13685119
937,MALYADA INTERLAV ARL,RO36685207
938,MANAILA COSTICA INTREPRINDERE FAMILIALA,26149180
939,MANEA ANDRA INTREPRINDERE INDIVIDUALA,40105138
940,MANOLACHE INDUSTRY GROUP SRL,RO30003033
941,MANOLESCU CONSTANTIN ADRIAN BUFET-MAGAZIN MIXT INTREPRINDERE FAMILIALA,21644438
942,MANOLEXIA S.R.L.,15431044
943,MANUMAR COMSERV SRL,RO8665131
944,MARAVELA RICA INTREPRINDERE FAMILIALA,RO15841907
945,Marcelino Srl,RO7199343
946,MARCHIDAN IMPEX SRL,RO4202320
947,MARCHITAN GHEORGHE I.F.,6988756
948,MARCOS-FAM SRL,RO10216584
949,MARGINEAN LEON DANIEL II,33359788
950,Mari Ale Mag Srl,35705306
951,MARI ELENA URLATEANU SRL,RO1361526
952,MARI GO OCTA 2014 SRL,RO33095767
953,Maricam Media SRL,RO18830490
954,MARIDAV HAPPY MARKET SRL,RO35737782
955,MARIE & PIERRE SRL,17511913
956,MARIJNE,RO23367465
957,Marin Cristina-Maria I.I.,34171765
958,MARIO MONA SRL,RO5097568
959,MARISIM &DOBRE,RO24072160
960,MARKET CU MERINDE S.R.L,39364708
961,MARKET IZALEX SRL,RO30096954
962,market valgeo srl,30463970
963,MARKUS SRL,15546869
964,MARMEA MARIA INTREPRINDERE INDIVIDUALA,22542444
965,MARRIS SRL,RO343300
966,MARTINI ANA MARIA,37383320
967,MARTY CITY MALL SRL,RO34322485
968,MARVA 70 PRODUCT,RO9865154
969,MARY MAR DRAGHICI S.R.L,39662682
970,MARYLAND SRL,3260129
971,MARYLUCK GML SRL,RO38843141
972,MATEI F. RODICA II,RO25856646
973,MATEI R&N 2018S.R.L.,38768619
974,MATEO EXCLUSIV SHOP S.R.L,RO36941291
975,MATRIOSCA EM SRL,RO35602114
976,MAX BEST,25848163
977,MAX COM 95 SRL,RO6637410
978,MAXADRIA CONSULTING S.R.L.,RO35182282
979,MAXI COM SRL,RO6572397
980,MAXI VEN DISTRIBUTION SRL,RO29493152
981,Maylin service srl,34153530
982,MC DISTRIBUTION SRL,RO18149375
983,MCG OIL DISTRIBUTION SRL,RO32556269
984,Mecantu SRL,RO4292129
985,mecom-srl,RO1171076
986,MEDIA PRESS DISTRIBUTION,RO19082559
987,MEDIA TRANS SRL,RO12323200
988,Mega Image Srl,RO6719278
989,MELIPRED IMPEX S.R.L.,RO8856123
990,MELISA TRADE S.R.L.,18637708
991,MENTOR TRADING SRL,RO5974914
992,MERKUR ENTERTAINMENT CENTER SRL,RO17888965
993,MESER PRESTCOM,RO37849553
994,MESESAN-DAN SRL,682838
995,METAL INOX DESIGN,23671943
996,METALTRANS SRL,RO7667754
997,METROPOLIS GRUP SRL,RO6337561
998,MGM ALL BRANDS IMPEX SRL,RO37228289
999,MIANIV COM SRL,RO13789870
1000,MICHELLE-ART SRL,RO15297555
1001,MICRO MEGA HD SA,RO2125809
1002,Microcosi srl,35228282
1003,MICU-LUCINELA SRL,RO8892169
1004,MIDA TRADE INVESTMENT SRL,RO26978218
1005,MIDAMAGA COM,RO39505955
1006,Mido Max Market srl,RO36725646
1007,Mielusica I. Marin,28437308
1008,"MIHALCEA N.GENICA""COMERT CU PRODUSE ALIMENTARE""PERSOANA FIZICA AUTORIZATA""",26338030
1009,MIHALEX COBAL LINE SRL,RO32630489
1010,MIHALI & STETCO COMERCIAL SRL,8493176
1011,MIHALI CRISTIAN,RO3094719
1012,MIHOCIU VASILE II,37000638
1013,MIHOVEXIM S.R.L.,17285565
1014,MIKE TEFRA & MARKET SRL,30161556
1015,MIKRO VASKA 100 SRL,33067236
1016,MIKY & JASMIN SRL,RO30199151
1017,Militaru Ghe Lina Intreprindere Familiala,27058764
1018,MINA INTERSERV SRL,RO14365872
1019,MINI MARKET SRL,RO1685786
1020,MINICRIS MARKET SRL,38096143
1021,MINIMARKET MALINA SRL,RO15794996
1022,Minimarket SRL,RO1297792
1023,MINISERV GOLD SRL,RO39651071
1024,MIOAD ALBESTI SRL,RO31522993
1025,miorin,RO1115262
1026,mirion market,40725296
1027,Mirmir co srl,RO376960
1028,Miroget com,RO13541156
1029,mirom exim srl,RO5707160
1030,MIROMAR SHOP SRL,RO33570202
1031,MIRU S.R.L.,RO1324838
1032,MIRUNA 2001 TRADING SRL,RO13864254
1033,MIRUNA INTERNATIONAL IMPEX SRL (Gambrinus),RO5767242
1034,Mirusil Top,RO40912707
1035,Mirva Com Sales Srl,29734390
1036,MISSELBACHER COCONEA ILDIKO,RO19508337
1037,Miu,RO18166783
1038,MIU ILEANA DANIELA PERSOANA FIZICA AUTORIZATA,19710440
1039,MIVICA IMPEX SRL,RO25445314
1040,MIXT NIONIS DIVERS,39283042
1041,Mixtcom,RO1454765
1042,MOATERU G&M SOCIETATE IN NUME COLECTIV,RO2392628
1043,MOBIL ENERGY OIL SRL,RO17875264
1044,Modern Grigorette,RO25592056
1045,MOGAS IMPEX SRL,9565181
1046,MOGAVILROM SRL,RO6596280
1047,Moldovan Florin,2972773
1048,Moldovan Tatiana Mihaiela,19980932
1049,Molnar Elisabeta Intreprindere Individuala,21403103
1050,Momo SRL,8587572
1051,MON BOUTIQUE SRL,RO33195685
1052,MONAMIHA SERVIPROMT,RO22915268
1053,MONDO FIN TAX SRL,RO29939353
1054,Moni&Vio Srl,RO4833844
1055,MONTELUX SRL,RO18420627
1056,MORIS,RO1102130
1057,MP SCORPION COM SRL,RO8045385
1058,MT 2006 SRL,19206274
1059,Munteanu Anisoara PFA,19434108
1060,MUR CRIS MAG,30801922
1061,MURESAN I.IONUT INTREPRINDERE INDIVIDUALA,34131230
1062,MUTHI ADRIANA INTREPRINDERE FAMILIALA,15698352
1063,Myrval Market SRL,RO32671276
1064,MYRYAM ACTIV SRL,RO39615184
1065,N&T IDEAL MINIMARKET SRL,RO29462709
1066,NAGRIDAN SRL,15994285
1067,NAGY AKAC-SOR SRL,RO15553793
1068,Nan Florina Simona Ii,RO32386946
1069,Nano-Butik,36335562
1070,NARCRISMY IMPEX SRL,RO9611032
1071,NASTASE LUCA ION PERSOANA FIZICA,19438894
1072,Naturkost Catering SRL,40258859
1073,Neag Ciprian Alin Ãntreprindere Individuala,26374165
1074,NEAG FAMILY,RO38056327
1075,NEAGA AURICA II,27881794
1076,NEAGOE S. GHEORGHE INTREPRINDERE INDIVIDUALA,28018059
1077,NEAGU DORINELA INTREPRINDERE INDIVIDUALA,RO10322941
1078,NEBORA BOGDICOM SRL -D,35466900
1079,NEBORA RALIXIM SRL-D,32638601
1080,NED COMSERV 68 SRL,RO5299389
1081,NEDELCU P. ION I.I.,40012012
1082,NEDU COM SRL,8891325
1083,NEES  THOR 05 PROD SRL -D,34556184
1084,NEGMA IMPEX SRL,RO5119313
1085,Negrila Eduard Valentin,37633087
1086,Nela & Cristi Family SRL,28468207
1087,NEPLA SRL,RO5134968
1088,NESO INVEST CONSULT SRL,RO27774291
1089,NEVADA-BUTNARU SRL,RO3601803
1090,New Sunrise srl,RO26271089
1091,NICA SRL,11215218
1092,NICKOS SI MYHA COM SRL,38634935
1093,NICO STAR FAMILY,RO19082567
1094,NICOLA S PRODUCTION SRL,RO10759009
1095,NICOLAE I. IONEL ÃNTREPRINDERE INDIVIDUALÄ,33330374
1096,NICOLESCU CONSTANTIN INTREPRINDERE INDIVIDUALA,31738483
1097,NICOLESCU ECATERINA-TEODORA INTREPRINDERE INDIVIDUALA,RO34321943
1098,NICOLII C GICU II,RO36342233
1099,NICRIS PETROCARS FUELL S.R.L.,RO1422046
1100,NICU PREM SI FIII,5553109
1101,Niculina Dogaru,39542643
1102,NIKODAN TRADE  SRL,RO39565736
1103,NIMOLCO PETROLEUM SRL PLOIESTI,RO16108271
1104,NIS PETROL SRL,29111546
1105,NITA GHEORGHE INTREPRINDERE INDIVIDUALA,36878925
1106,NITA GHEORGHITA IF,11480303
1107,NITA I MARIAN INTREPRINDERE FAMILIALA,13230451
1108,Nitu Maria Ana II,40862315
1109,Norbert S Com,10260687
1110,NOVAEDIL 2007 SRL,RO19256582
1111,NUFARUL SA,RO2633548
1112,NUTA IRINA-IOANA PERSOANA FIZICA AUTORIZATA,36335040
1113,NUTA MARKET SRL,29256520
1114,O.K.PROD IMPEX SRL,RO451957
1115,O.M.F. STEEL SRL,RO31041795
1116,OANA BUSSINESS WOMEN SRL,34966141
1117,Ocolenescu Irinel intreprindere individuala,39878229
1118,Octopus Comserv Srl,9987780
1119,ODI ROSA BELLA,RO33563175
1120,OIL SMIL SRL,RO7891742
1121,OLD MEDIA SRL,RO37452242
1122,Olimpos ProducÈie ComerÈ,6832195
1123,OLIVER POCOYO SRL,RO38654592
1124,OMV PETROM MARKETING SRL,RO11201891
1125,ONCOS PROD SRL,RO15111694
1126,ONITA OIL SRL,RO10930400
1127,OPEN ART COM SRL,17821353
1128,OPREA I. GABRIEL RAZVAN INTREPRINDERE INDIVIDUALA,RO27905605
1129,OPRICA COM SRL,RO1445376
1130,Oprisi C.Constantina PFA,40867924
1131,oproiu luminita,RO12769564
1132,ORBAN I. ILEANA INTEPRINDERE FAMILIALA,7761416
1133,ORIZONT EXPRES SRL,RO15738287
1134,OROS CLAUDIA MONICA INTREPRINDERE INDIVIDUALA,RO27245592
1135,OSAREM COM SRL,RO11135143
1136,OSCAR IMPEX SRL,RO4042807
1137,OSTROMARY SRL,31544061
1138,Otves Ramona,25090254
1139,Ovecom,RO2572475
1140,OVISIM IMPEX SRL,RO6481450
1141,OZANA SRL,RO567421
1142,P & C APUSEANA SRL,17676407
1143,P G ZEPPELIN SRL,RO5192772
1144,P.F.A. ÈOAVÄ LAURENÈIU NICOLAE,23177827
1145,PÄDURARU DRAGOÈ-BOGDAN PFA,32099663
1146,PALADIUM COM SRL,RO4902880
1147,PAMABA SRL,RO27894026
1148,PAMPOREA MIXT SRL,35451801
1149,PAN PARTENER SPEDITION ARG,RO30399265
1150,PANAVAL S.R.L.,4225600
1151,PARABOMIR SRL (Chisoda),RO32471219
1152,PARVULESCU GABRIELA GEORGETA,RO27280174
1153,PAS D IMPEX S.R.L.,RO1579980
1154,PASCUTA EMILIA II,39049034
1155,"PASTIU MARIA ""PASTIU ANA"" INTREPRINDERE FAMILIARA",8337355
1156,PÄTRAÈCU P. NICOLETA INTREPRINDERE INDIVIDUALA,33699488
1157,Patru Monica Florentina,23569120
1158,paulaner impex srl,RO5352849
1159,PAUN E ELENA INTREPRINDERE INDIVIDUALA,RO19580871
1160,PAXON STAR SRL,RO24471277
1161,pecopan mb company srl,RO28171132
1162,Pekmar Stil Srl,RO31390108
1163,PENTEK ANDRAS KAROLY II,16319694
1164,PENTIUC IONEL PFA,31688202
1165,PERIUTA S.R.L,6818999
1166,PERLA MOTILOR SRL,16382055
1167,PERLA SERVICOM SRL,RO2085801
1168,Persoana Fizica Autorizata Bleaja Elena Daniela,28594647
1169,Persoana fizica autorizata CRISMARU GABRIELA,19451265
1170,PETRACHE VOLIMPEX SRL,RO5721296
1171,PETRE I.M. IULIANA INTREPRINDERE INDIVIDUALA,40879791
1172,PETRISOR FINTINA SRL,RO2874619
1173,PETRUS I MARIA INTREPRINDERE INDIVIDUALA,RO34029141
1174,Pf Marin Alexandra Georgiana,32945193
1175,PFA,20758949
1176,PFA ALBU ELENA,19784847
1177,PFA APOSTOL A MARIA,RO26845874
1178,PFA BOSCU DANIELA,RO34546482
1179,PFA CALIAN RODICA,26842657
1180,pfa calotescu grigore eracle,19305278
1181,PFA CEANGAU MARIA,27405995
1182,Pfa Duma Dorinel Vasile,19539830
1183,PFA GELERIU NICOLAE,29879170
1184,PFA GRAMA I. DOREL,40882169
1185,Pfa Greceanu Liviu,38628100
1186,PFA Groza Gabriela,RO26741270
1187,Pfa Ilies Tatiana,27859355
1188,PFA IONESCU A RADU,37592807
1189,PFA MANOLE N MARIAN,RO21159018
1190,PFA NANU TUDORITA,20083566
1191,PFA NEMES CRINA,RO37383711
1192,PFA Nistor Constanta,RO19346626
1193,Pfa Perte Nusa,32996154
1194,Pfa Raboji leontina,38147514
1195,PFA STOICA DARIUS VIOREL,30888482
1196,PFA SZABO MARIA,20956334
1197,PFA WAGNER NELU-NARCIS,37534482
1198,Pfdarie,18375488
